0.9
node parent1 parent2 dist pt eta phi m
266 239 256 0.0348367184583 79.4106235565 1.13492426667 2.05590987164 5.59403374826
239 177 236 0.0188902257189 23.6117354713 1.19574799225 2.03051753653 1.93838976178
177 -1 -1 0 1.42274203344 1.24411706319 1.99127438778 0.13957
236 192 228 0.017989632416 22.1901590311 1.19253510429 2.03303300325 1.76076808976
192 -1 -1 0 2.60775346416 1.1737821465 1.98499274407 0
228 215 218 0.0153912460818 19.5858145141 1.19486568883 2.03942690757 1.60868858337
215 175 189 0.00925565798717 10.953833988 1.20905137085 2.03301428789 1.15899774772
175 -1 -1 0 2.03528269747 1.21083296719 2.01031787231 0.49368
189 -1 -1 0 8.91919508438 1.20858406009 2.03819299091 0.13957
218 165 193 0.0112291861236 8.63249152973 1.17657104393 2.04756396335 0.203281605404
165 -1 -1 0 6.22907180322 1.18397587845 2.05192404586 0.13957
193 -1 -1 0 2.40363237847 1.15709371614 2.0362644988 0
256 173 248 0.0301366722027 55.8097196392 1.10809206859 2.06665180342 2.25855416881
173 -1 -1 0 3.03561482085 1.01238470856 2.10014333029 0.13957
248 188 229 0.024299488626 52.7759050464 1.11335510763 2.06472576477 1.65349757071
188 -1 -1 0 1.57053131881 1.18537571232 2.11612183514 0.13957
229 182 222 0.0159621745658 51.2075111577 1.11104449252 2.0631501436 1.18377989624
182 -1 -1 0 3.03701940027 1.06254164952 2.08427767916 0
222 208 210 0.0126903807984 48.1712122814 1.11402833374 2.06181822817 0.941289293696
208 181 191 0.00610619244295 13.6269397906 1.1046701889 2.08515928189 0.103353490348
181 -1 -1 0 4.35562974715 1.09868035329 2.07584027886 0
191 -1 -1 0 9.27158801954 1.10745021171 2.089537137 0
210 190 207 0.00649858512768 34.5494481841 1.11757974881 2.05261279184 0.441369976476
190 -1 -1 0 3.26022002647 1.12381963987 2.07123970547 0
207 184 205 0.00565431168585 31.2898526513 1.11691166705 2.05067208716 0.364507951011
184 -1 -1 0 11.6679508142 1.10964159515 2.0558969935 0
205 164 183 0.00334413666451 19.6221558059 1.12120416334 2.04756520271 0.23312445046
164 -1 -1 0 7.91529512463 1.12312947825 2.04311285379 0.13957
183 -1 -1 0 11.7069921791 1.11989164087 2.05057550561 0
280 54 259 0.0446206384458 2.83431902221 1.28864646352 2.18657060997 1.32910037847
