Jet #1 Particle Count: 35
 452 453 454 455 456 457 636 637 638 640 642 643 644 753 754 755 756 757 758 759 760 761 762 858 859 860 861 862 863 923 924 925 926 927 928
Jet #2 Particle Count: 19
 338 342 593 707 708 710 711 712 713 832 833 892 893 970 971 973 974 990 991
Jet #3 Particle Count: 47
 392 395 396 400 404 406 607 608 609 610 611 613 615 617 620 733 734 735 736 737 738 739 740 742 743 842 843 844 845 846 847 884 885 886 887 913 914 917 918 919 920 921 975 976 977 978 979
Jet #4 Particle Count: 63
 470 471 475 478 483 484 489 491 493 646 647 648 649 650 651 652 653 654 655 772 773 774 775 776 779 780 781 782 783 784 785 787 788 790 929 930 931 932 933 934 935 936 937 938 939 940 941 942 943 945 946 948 949 982 983 985 986 987 996 997 999 1001 1002
Jet #5 Particle Count: 40
 419 421 423 430 431 432 433 435 622 623 624 626 628 629 631 632 634 745 746 747 748 749 750 752 848 849 850 851 852 853 854 855 856 857 888 889 992 993 994 995
nJets: 5
id pT eta phi m
-211 0.378409212887 2.47622720431 1.05449487808 0.13957
-321 0.443482948855 5.24837236477 -2.37083651151 0.49368
211 0.218191842219 4.59587955067 -2.88857882138 0.13957
130 0.599823857219 -2.8661681426 -0.4152172241 0.49761
211 0.648382979497 -0.682712024277 0.499450704272 0.13957
211 0.247781555643 -0.491728339759 -0.43066959426 0.13957
211 1.63305620553 0.803773076748 0.106179437128 0.13957
130 5.37221936484 -0.0682166776815 1.48415578999 0.49761
-321 4.21344864803 -0.223829951646 1.53302164208 0.49368
211 6.26099542642 -0.173829008827 1.49799042218 0.13957
211 0.175654123321 0.65971827231 -0.152612245055 0.13957
-211 0.518081534833 -0.432233694964 2.65484372779 0.13957
211 0.970533818029 0.993038121443 2.60248420085 0.13957
211 0.325136504935 1.99875395436 2.57110926454 0.13957
-211 0.965722278467 1.66398513689 2.83396857834 0.13957
211 6.94581589689 0.881802285699 -2.75619259134 0.13957
211 1.58201303022 1.26702547978 2.18777865331 0.13957
-211 3.03561482085 1.01238470856 2.10014333029 0.13957
-211 1.17339385504 1.12873328446 1.80592067 0.13957
-321 2.03528269747 1.21083296719 2.01031787231 0.49368
211 0.251297396155 0.704603709307 0.945307133374 0.13957
-211 1.42274203344 1.24411706319 1.99127438778 0.13957
211 0.0701000884428 -0.00120355401403 1.28735939922 0.13957
130 0.772336228265 1.28238557079 2.17399495937 0.49761
-211 0.296948367033 0.913073925236 0.171983291292 0.13957
-321 1.66784482146 1.26560687515 -1.12210490027 0.49368
211 2.39765071002 1.03871933304 -1.07679510582 0.13957
-211 0.544539030022 1.13678550152 -1.75970519711 0.13957
211 0.215743236788 -1.98584089091 2.22062457855 0.13957
211 0.31039297682 0.861801811157 0.982967813265 0.13957
-211 0.408613783209 -0.176901441809 -1.69632170031 0.13957
211 1.52190223844 -7.45116102097 -0.513814927642 0.13957
2212 0.0985435546093 8.84983790046 -2.95842278322 0.93827
211 0.308766812763 6.210549081 2.87430671223 0.13957
-2212 0.129929012404 8.25128772355 2.46853880852 0.93827
-211 0.273241739119 6.59682492347 1.05672340346 0.13957
211 0.624269640252 3.92895926005 0.174407848631 0.13957
-211 0.437000581185 3.979642662 -1.67377689053 0.13957
211 0.418226619503 2.46982535673 -0.202497753053 0.13957
-211 0.459420376447 2.61775628506 -2.25130871302 0.13957
2212 0.0969687536622 3.55238752519 1.51744001606 0.93827
-211 0.222591262347 0.532033811057 -0.834268728467 0.13957
211 0.133646421773 5.82232361321 -2.75759673055 0.13957
321 0.596381302956 3.70826004526 2.40303438749 0.49368
-211 0.167367267759 3.34689773597 0.189611247881 0.13957
-321 0.355124820001 3.63126224189 -2.00743700023 0.49368
211 0.124781535373 5.03503886237 0.559474722452 0.13957
211 0.738222287338 3.06953495579 -2.50617313402 0.13957
-211 0.202118650276 4.67228892787 2.9275957808 0.13957
211 0.325870137607 1.30886910858 -1.41645670054 0.13957
211 0.385243299303 1.3260121015 -0.153947385559 0.13957
-211 0.374752642631 1.51621994762 2.90134103397 0.13957
211 1.34105046888 3.56041581764 -0.505877731543 0.13957
-211 0.0630939364026 5.01178832462 0.833868507502 0.13957
211 0.290408499125 2.96384998618 1.41378213951 0.13957
-321 1.16574123288 3.73669905291 -0.410447126607 0.49368
211 0.854412057468 3.74640206954 -0.940657084225 0.13957
130 0.124513586128 3.67374795162 0.726651613501 0.49761
211 0.369938679562 -5.17867717501 -3.05105818261 0.13957
-211 0.309825843252 -4.055936982 -1.86922040526 0.13957
211 0.437609496751 -4.72208091735 -0.932590587994 0.13957
211 0.343142555681 -7.66486844236 0.397145820763 0.13957
130 1.00544922991 -7.10897308453 0.0251370124672 0.49761
-321 0.734145671017 -7.16014882581 -0.616354449198 0.49368
211 0.268341690151 -7.68773877413 0.693853814372 0.13957
321 0.498025326675 -5.26451329118 -2.76061423259 0.49368
-211 0.260242347708 -5.62689360414 -0.15207825027 0.13957
-321 0.400409785384 -5.35059244313 -2.16168120263 0.49368
211 0.547323512725 -4.18425945481 0.025901199581 0.13957
-211 0.582409621268 -5.30632070842 -2.6504408014 0.13957
211 0.56596260041 -4.84981759155 0.192608493177 0.13957
-211 0.352268931833 -3.05885114923 2.99570084607 0.13957
211 0.168427761971 -3.42142122178 -1.03686230128 0.13957
-211 0.334576635006 -1.86176622877 -2.35746680217 0.13957
-211 0.493889670727 -1.07070250821 2.88878610513 0.13957
211 0.251697160976 0.823306367267 2.43651176365 0.13957
-211 0.397997046058 2.63323964193 0.36002298946 0.13957
-211 0.345193411228 7.10571055968 -0.227116533522 0.13957
130 0.337396107053 3.65098603212 -0.731394263748 0.49761
-14 0.627027573187 1.50926738787 -2.10407564575 0
13 11.4187286331 1.53763506406 -1.63965188216 0.10566
22 0.977255073003 1.36219655626 -1.56765804427 0
22 1.37145779856 1.33330422102 -1.45464122232 0
211 1.05953942285 0.662808718018 -1.16140809302 0.13957
-211 0.262137243846 0.775778524471 -2.07209855712 0.13957
22 0.171808390655 -0.340750140148 -0.200012849754 0
22 0.17463717075 -0.497999845964 0.583028921849 0
22 0.0619249166633 6.47216423308 -0.68105058444 0
22 0.22035875037 5.38552561958 -0.497631309593 0
-2112 0.463370811741 3.95609490115 -2.95814948151 0.93957
211 0.237680245326 3.82152133153 2.38255424325 0.13957
22 1.54901203465 0.457718944601 -0.071280332506 0
22 1.42501353781 0.211267371835 -0.34586755184 0
211 1.3957416512 -0.137350484455 1.46650511419 0.13957
22 0.759196327618 0.101931618821 1.48124478496 0
22 0.218721499041 0.00433313720183 1.16338207407 0
211 0.365042778471 1.31073747831 -3.1234252475 0.13957
-211 0.202437562143 1.08615442056 2.78702674521 0.13957
22 0.927034415538 1.37599211886 2.96768016317 0
211 0.970624187806 1.09223219079 2.97870728899 0.13957
-211 0.559909212682 1.11146799737 3.11677868055 0.13957
211 1.58549770587 0.953926625903 -2.61635651087 0.13957
-211 0.373101926987 0.809916567048 -2.57041070839 0.13957
