0.9
node parent1 parent2 dist pt eta phi m
152 -1 -1 0 1.23214569113 1.33475966979 -0.503965435539 0.13957
287 108 272 0.0522985749117 27.4700557929 1.18690602044 -0.675227927612 4.12349763296
108 -1 -1 0 2.11194036835 1.02125827973 -0.686605395504 0.93827
272 245 260 0.0378088314145 25.3582634988 1.19974137724 -0.674280385643 1.5063133383
245 157 225 0.023457650996 4.76684470632 1.15147522305 -0.594746624799 0.147898488239
157 -1 -1 0 1.27527203626 1.14276572901 -0.642120441325 0
225 125 158 0.01323810671 3.49352546595 1.15418285685 -0.577458954501 0.0442986995106
125 -1 -1 0 0.311231170281 1.18975580665 -0.596790118263 0
158 -1 -1 0 3.18235813301 1.15063084291 -0.575568504294 0
260 155 219 0.0309969037304 20.6099674627 1.20989117747 -0.692657262325 0.845027922174
155 -1 -1 0 0.27568663022 1.13138634148 -0.786620689221 0
219 105 153 0.0114470069079 20.3355134239 1.2108704714 -0.691385282374 0.787372461657
105 -1 -1 0 0.706092217064 1.17803566117 -0.666889063562 0.13957
153 -1 -1 0 19.6296406657 1.2120256295 -0.692266340881 0.13957
312 6 302 0.0778831591323 7.8193009316 1.11862810311 -1.02270418181 1.87784913898
6 -1 -1 0 1.66784482146 1.26560687515 -1.12210490027 0.49368
302 45 301 0.0584397986775 6.16191217165 1.07418601169 -0.995840441107 1.2239579753
45 -1 -1 0 0.5059817211 0.927509579786 -0.886332852969 0
301 209 275 0.0634444275802 5.65923143853 1.08606749119 -1.0056119166 1.13309889705
209 7 200 0.0062700287197 2.4604437093 1.0385904403 -1.07620108202 0.141681195432
7 -1 -1 0 2.39765071002 1.03871933304 -1.07679510582 0.13957
200 -1 -1 0 0.0628095725582 1.03345458841 -1.05352327149 0
275 249 253 0.0403790519506 3.20960996983 1.11867821434 -0.951517764773 0.786892626491
249 109 151 0.0243844114028 2.32294896443 1.09954040212 -0.926354352745 0.532528512291
109 -1 -1 0 2.01207344881 1.10581354644 -0.918269718176 0.49368
151 -1 -1 0 0.311366471664 1.05692495291 -0.978621091325 0
253 44 133 0.0272857346701 0.889319097196 1.16498956619 -1.01728640787 0.236956805318
44 -1 -1 0 0.58974557758 1.14271543548 -1.00709159589 0
133 -1 -1 0 0.29966448531 1.20742422073 -1.03735099627 0.13957
347 317 329 0.160673751471 8.13137070038 0.640438671198 -1.32156661959 2.35936806805
317 119 316 0.0845762636388 3.28264983058 0.526249434225 -1.10805297923 0.733322043161
119 -1 -1 0 0.222591262347 0.532033811057 -0.834268728467 0.13957
